id,group,gender,relationship_status,reunion_class,reunion_class_levels,n_children,children_range,children_range_levels,with_child,with_child_levels,income,working_range_levels,income_range,income_range_levels,achievement,achievement_min,joy,joy_min,meaningfulness,meaningfulness_work,meaningfulness_min,life_satisfaction,tqi,working_hours,working_range,reading_hours,catching_up_hours,social_media_hours,watching_tv_hours,exercising_hours,sleeping_hours,care_giving_hours,parting_hosting_hours,industry_graduation,industry_current,eating_with_family_hours,eating_with_others_hours,eating_alone_hours,watching_TV_with_family_hours,watching_TV_with_others_hours,watching_TV_alone_hours,hanging_out_alone_hours,hanging_out_with_family_hours,hanging_out_with_others_hours,chores_alone_hours,chores_with_others_hours,chores_with_family_hours,commuting_alone_hours,hobbies_hours,school_learning_hours,job_searching_hours,gaming_hours,napping_hours,therapy_hours,side_projects_hours,volunteering_hours,hobbies_subj_value,school_learning_subj_value,job_searching_subj_value,gaming_subj_value,napping_subj_value,therapy_subj_value,side_projects_subj_value,volunteering_subj_value,jam_type_distribution,achievement_behavioral,achievement_perceived,joy_gap,achievement_gap,meaningfulness_gap
11,IWF,Women,Married,25th,6,4,3+,4,yes,1,4553669,4,More than 1M,5,52,66,35,95,76,66,54,8.2,8.2,78,Over 55,5,1,1,3,3,48,5,4,Other,Healthcare,0.1,0.7,0.1,1.6,0.1,0.5,2.4,0.8,2.5,0.9,2.7,1.5,2.9,1.2,5.5,0.3,11,0.2,0.3,8,1.3,0.05,2.01,0.1,1.35,0.1,0.4,2,0.65,Purpose Seeker,24,26,3,-10,11
12,IWF,Women,Married,40th+,9,2,2,3,yes,1,1796891,3,More than 1M,5,91,27,88,62,50,27,66,4.9,4.9,53,45 - 55,5,3,8,8,2,54,0,4,Other,Healthcare,2.9,3,0.2,0.9,1.2,2.1,2.5,2.4,1.3,1.1,2.2,2,1,9.7,24.7,0.6,5.8,2.7,1.4,8.2,4,2.4,2.48,0.15,0.7,1,1.75,2.05,2,Purpose Seeker,3,62,6,-25,-16
13,IWF,Women,Single,10th,3,3,3+,4,yes,1,4551373,3,More than 1M,5,17,86,42,55,45,86,80,8.6,8.6,47,45 - 55,9,0,3,7,6,50,15,8,Finance,Consulting,2.5,2.8,2.7,0.9,2.1,1.6,2.9,0.8,1.9,0.3,2.8,2.9,2.7,8.5,23.6,9.1,6.1,4.9,1.1,9.8,1.4,2.1,2.42,2.25,0.75,1.75,1.35,2.45,0.7,Flourisher,22,4,12,19,10
14,HBS,Women,Single,5th,2,2,2,3,yes,1,3374769,3,More than 1M,5,88,73,49,59,96,73,45,6.1,6.1,46,45 - 55,10,9,0,4,7,53,15,7,Tech,Tech,0.6,0.1,0.4,1.1,0.6,1.9,1.5,0.6,0.7,0.2,1,0.8,2.5,2.9,1,1.4,7.1,1.4,1.3,5,1,0.55,2.11,0.35,0.9,0.5,1.6,1.25,0.5,Flourisher,53,89,-21,-5,11
15,HBS,Women,In a relationship,5th,2,1,1,2,yes,1,821743,4,500K - 1M,4,59,61,19,89,96,61,54,3.1,3.1,79,Over 55,0,0,5,1,3,53,0,6,Consulting,Consulting,0.5,2.1,1.6,1.9,1.9,0.6,1.4,1.5,2,0.8,1.5,2.6,0.6,2.6,17.6,5.3,12.4,4.5,0.4,4.5,2.5,0.45,2.09,1.35,1.55,1.6,0.5,1.15,1.25,Striver,2,42,-4,4,2
16,HBS,Men,In a relationship,40th+,9,0,0,1,no,2,133355,4,Less than 150K,1,88,79,29,40,77,79,99,2.8,2.8,69,Over 55,1,1,10,4,14,55,6,2,Consulting,Other,0.6,2.8,1.2,1,0.8,0.6,2.3,2.6,2.3,0.2,0,2.8,1.9,2.7,23.1,4.1,6.7,1.8,0.4,7.5,4.3,0.45,2.09,1.05,0.85,0.65,0.55,1.9,2.15,Joyful Striver,88,89,8,-13,2
17,Xilio,Women,Single,40th+,9,1,1,2,yes,1,1292752,4,More than 1M,5,58,49,87,26,97,49,27,4,4,56,Over 55,1,10,8,7,8,52,15,1,Finance,Other,0.9,0.5,1,2.2,2.7,0.1,0.4,0.7,1.4,0.3,0,2,0.2,3.7,4.5,3.5,14.7,6.2,0.1,1.3,1.2,0.75,2.15,0.85,1.85,2.2,0.1,0.35,0.6,Joyful Striver,30,18,-25,8,16
18,Xilio,Women,Single,40th+,9,2,2,3,yes,1,1426025,4,More than 1M,5,90,79,75,96,55,79,84,4.8,4.8,58,Over 55,9,10,3,7,7,50,13,6,Tech,Healthcare,1.6,1.7,2.7,1.2,2.7,1,1.6,0.2,1.9,2.4,0.7,2.8,2.5,5.7,14.2,9,8.1,6.3,0.6,5.5,0.4,1.3,2.26,2.25,1,2.25,0.8,1.35,0.2,Striver,38,40,0,-22,17
19,IWF,Men,Single,10th,3,0,0,1,no,2,1337371,4,More than 1M,5,78,55,71,33,28,55,40,4.1,4.1,60,Over 55,9,1,10,9,2,53,8,2,Healthcare,Tech,1.3,2.7,0.1,0.2,0.9,1.7,1.6,1.1,1.4,0.1,0.3,1.2,0.5,4.9,22.9,0.2,1.4,2.1,1.1,5.5,1.8,1.1,2.22,0.05,0.15,0.75,1.4,1.35,0.9,Purpose Seeker,2,72,17,2,-5
20,HBS,Men,In a relationship,20th,5,0,0,1,no,2,947040,4,500K - 1M,4,19,12,26,61,48,12,32,3.4,3.4,69,Over 55,4,4,2,11,8,53,13,3,Finance,Healthcare,0.9,0.1,2,2.4,0.7,2.6,0.3,2.2,2.7,2,0.8,2.9,0.2,3.6,0.8,6.6,15.7,1.6,1.7,0.9,3.7,0.75,2.15,1.65,1.95,0.55,2.15,0.2,1.85,Purpose Seeker,64,39,-16,12,-2
21,IWF,Women,Single,15th,4,4,3+,4,yes,1,2283882,4,More than 1M,5,51,40,61,31,45,40,64,6.5,6.5,58,Over 55,4,6,1,7,11,53,7,1,Consulting,Healthcare,1.8,2.1,2.9,0.9,1.2,2,1.3,1.7,1.5,0.8,0.5,2.1,1.2,6.5,17.4,9.6,5.7,2.9,1.3,4.2,2.8,1.55,2.31,2.4,0.7,1.05,1.65,1.05,1.4,Joyful Striver,60,14,4,5,16
22,IWF,Men,Single,15th,4,3,3+,4,yes,1,3560409,4,More than 1M,5,73,91,51,82,57,91,11,7.2,7.2,80,Over 55,8,0,7,6,14,49,14,8,Consulting,Tech,0.4,0.9,1.7,1.3,0.7,1.3,2.6,2.5,2.5,2.6,0.1,0.1,1.7,2.3,7.4,5.6,8.7,1.7,0.9,8.5,4.1,0.35,2.07,1.4,1.1,0.6,1.1,2.15,2.05,Joy Seeker,21,32,-8,1,14
23,IWF,Men,Single,15th,4,2,2,3,yes,1,4879115,3,More than 1M,5,62,97,38,38,44,97,55,8.9,8.9,51,45 - 55,10,8,3,1,10,55,8,5,Tech,Healthcare,0.9,2.8,2.8,2.1,2,2.9,2.6,2.9,2.4,1.5,2.7,2.7,2.6,3.6,23.1,9.4,13.7,4.7,1.9,8.6,4.8,0.75,2.15,2.35,1.7,1.7,2.4,2.15,2.4,Flourisher,33,51,-9,-21,-24
24,IWF,Women,In a relationship,20th,5,1,1,2,yes,1,4751339,4,More than 1M,5,65,11,64,38,51,11,27,8,8,61,Over 55,6,3,2,0,7,51,14,1,Healthcare,Tech,1.1,2.9,0.2,1,2.5,2.2,0.3,2.4,1.2,0.9,0,1.5,2.9,4.3,24.3,0.5,6.6,5.8,1.4,1,4,0.9,2.18,0.15,0.85,2.05,1.8,0.25,2,Purpose Seeker,76,38,0,-1,-18
25,HBS,Men,Married,10th,3,2,2,3,yes,1,4872447,3,More than 1M,5,31,18,89,32,44,18,34,8.6,8.6,53,45 - 55,1,6,5,9,4,48,1,2,Tech,Healthcare,1.4,2.8,1.3,0.2,2,2.8,0.3,1.8,0.7,1.6,2.2,1.4,1.3,5.1,23.6,4.2,1.1,4.7,1.9,0.9,3,1.15,2.23,1.05,0.15,1.7,2.35,0.25,1.5,Joyful Striver,58,23,-18,-23,1
26,IWF,Men,Married,15th,4,0,0,1,no,2,1530942,2,More than 1M,5,91,25,24,96,46,25,38,4.9,4.9,38,35 - 45,2,5,9,7,10,53,18,7,Consulting,Other,2.4,1.4,0.8,1.1,2.5,1.6,0.8,1.5,1.2,1.1,0.5,1.7,0.2,8.1,11.9,2.6,7.5,5.8,1.1,2.6,2.5,1.95,2.39,0.65,0.95,2.05,1.3,0.65,1.25,Joy Seeker,22,63,14,7,-4
27,HBS,Women,Married,10th,3,2,2,3,yes,1,4290029,2,More than 1M,5,46,62,41,24,51,62,16,7.6,7.6,39,35 - 45,10,3,8,7,7,49,10,4,Other,Healthcare,0.6,2.6,2.2,2.8,1.2,0.8,2.6,0.1,2.5,1.7,2.7,0.4,2.2,2.8,21.6,7.3,18.9,2.8,0.5,8.7,0.2,0.5,2.1,1.85,2.35,1,0.65,2.2,0.1,Joy Seeker,89,15,-14,-22,11
28,HBS,Women,In a relationship,25th,6,1,1,2,yes,1,3305709,3,More than 1M,5,41,68,92,40,68,68,21,7.1,7.1,48,45 - 55,2,10,7,4,1,51,2,2,Healthcare,Healthcare,1.5,2.5,2.9,1.9,0.5,0.2,0.4,3,0.7,0.3,2.7,1.4,1.7,5.6,21.1,9.8,12.8,1.1,0.1,1.3,4.9,1.3,2.26,2.45,1.6,0.4,0.15,0.3,2.45,Purpose Seeker,49,25,1,-1,1
29,HBS,Women,Married,1st,1,2,2,3,yes,1,114654,4,Less than 150K,1,59,25,79,23,72,25,33,2.8,2.8,66,Over 55,6,7,7,1,2,50,17,6,Consulting,Other,1.8,1,0.8,2,2.2,2.2,2.2,1.2,1.6,3,2,2.5,1.3,6.3,8,2.6,13.4,5.2,1.5,7.2,1.9,1.5,2.3,0.65,1.7,1.85,1.8,1.8,0.95,Triumvirate,59,17,-18,-6,3
30,IWF,Women,In a relationship,15th,4,2,2,3,yes,1,1984354,3,More than 1M,5,54,92,58,14,55,92,68,5.2,5.2,49,45 - 55,0,10,6,3,12,53,4,7,Consulting,Finance,0.1,2.5,2,1.9,1.1,0.4,0.3,0.5,2.4,1.3,2,0,0.9,1.4,20.7,6.5,12.6,2.5,0.2,1,0.8,0.1,2.02,1.65,1.6,0.9,0.3,0.25,0.4,Joyful Striver,42,66,-1,8,-23
31,IWF,Women,Married,40th+,9,1,1,2,yes,1,2446182,4,More than 1M,5,25,94,29,86,36,94,10,5.6,5.6,63,Over 55,8,7,6,2,1,51,14,9,Healthcare,Finance,1.8,0.1,0.6,0.6,2,0.9,1.9,2,1.1,1,0,0.8,1.5,6.5,0.9,2,4,4.7,0.6,6.2,3.3,1.5,2.3,0.5,0.5,1.7,0.75,1.55,1.65,Joyful Striver,60,78,20,0,18
32,HBS,Men,Single,10th,3,1,1,2,yes,1,3504675,1,More than 1M,5,63,32,76,48,99,32,30,8.1,8.1,31,0 - 35,5,7,6,9,9,55,0,5,Other,Finance,0.5,1.8,1.7,1.3,0.8,1.6,1.1,0.9,1.9,2.1,3,0,1,2.5,14.9,5.7,8.4,1.9,1.1,3.6,1.4,0.45,2.09,1.4,1.05,0.7,1.35,0.9,0.7,Purpose Seeker,80,53,-22,-21,-13
33,IWF,Men,In a relationship,15th,4,1,1,2,yes,1,2682991,2,More than 1M,5,25,66,60,30,40,66,58,6.2,6.2,41,35 - 45,10,0,7,5,13,53,18,7,Healthcare,Other,0.2,0.7,1.4,2.3,0.2,1.7,2.4,1.8,0.7,1.1,2.6,1.2,2.3,1.6,5.8,4.6,15,0.6,1.1,7.9,2.9,0.15,2.03,1.15,1.9,0.2,1.4,1.95,1.45,Triumvirate,15,51,7,9,19
34,IWF,Women,In a relationship,5th,2,3,3+,4,yes,1,2458388,4,More than 1M,5,51,49,77,79,65,49,68,5.4,5.4,69,Over 55,6,5,5,3,2,54,0,0,Other,Healthcare,2.8,0.4,2.9,0.3,3,1.8,0.7,1.8,0.3,2.5,2.7,2.2,1.6,9.5,3,9.7,2,6.9,1.2,2.3,2.9,2.35,2.47,2.45,0.25,2.5,1.5,0.6,1.45,Flourisher,62,39,-25,2,-16
35,Xilio,Men,Married,15th,4,1,1,2,yes,1,558178,4,500K - 1M,4,64,91,24,10,64,91,47,4,4,57,Over 55,0,6,1,1,5,55,7,7,Finance,Tech,2.9,0.2,1.8,0.8,0.5,0.5,1.9,1.3,2.4,1.4,2,2.4,2.6,9.7,1.9,6.1,5.6,1.1,0.3,6.4,2.2,2.4,2.48,1.5,0.7,0.4,0.4,1.6,1.1,Striver,62,51,-7,3,10
36,HBS,Men,In a relationship,20th,5,4,3+,4,yes,1,2693046,2,More than 1M,5,46,38,47,67,26,38,96,5.6,5.6,37,35 - 45,7,10,2,10,11,48,0,7,Healthcare,Healthcare,2.4,2.1,1,0.8,3,1.1,0.7,2.5,0.3,2.2,1,2.8,1.6,8.3,17.4,3.5,5.5,6.9,0.8,2.4,4.2,2,2.4,0.85,0.7,2.45,0.95,0.6,2.1,Joy Seeker,47,70,5,-17,-17
37,IWF,Women,Single,10th,3,1,1,2,yes,1,2616644,4,More than 1M,5,61,27,51,72,34,27,31,6.2,6.2,71,Over 55,3,5,7,7,6,55,7,5,Tech,Consulting,0.9,1,0.3,1.3,2.9,1.9,2.1,0.8,0.8,0.3,2.7,1.8,0.7,3.7,8.5,1.1,8.6,6.8,1.2,7.1,1.3,0.75,2.15,0.3,1.1,2.45,1.55,1.8,0.65,Joyful Striver,62,6,-10,12,1
38,Xilio,Men,Married,15th,4,0,0,1,no,2,2600406,4,More than 1M,5,70,71,91,48,59,71,23,5.1,5.1,67,Over 55,2,8,7,2,5,53,19,1,Consulting,Healthcare,0.3,2.2,0.5,2.9,2.4,2.9,2.6,1.3,2.6,2.5,0.9,0.8,2.6,1.9,18.1,1.5,19.6,5.6,1.9,8.7,2.2,0.25,2.05,0.4,2.45,2,2.4,2.2,1.1,Joyful Striver,51,67,-12,-20,8
39,Xilio,Women,Married,10th,3,2,2,3,yes,1,3446664,2,More than 1M,5,24,62,55,51,21,62,96,6.5,6.5,39,35 - 45,6,2,0,11,3,54,8,8,Consulting,Consulting,2.1,0.2,0.7,0.2,2,2.2,0.4,1.6,1,2.2,1.7,2.8,1.7,7.2,1.6,2.3,1.4,4.6,1.5,1.3,2.7,1.7,2.34,0.55,0.15,1.65,1.8,0.3,1.35,Joy Seeker,55,7,-21,-7,-25
40,IWF,Men,Single,25th,6,3,3+,4,yes,1,3415659,2,More than 1M,5,95,52,44,73,65,52,41,7.2,7.2,37,35 - 45,5,1,0,5,15,52,10,1,Finance,Consulting,1.3,0.9,0.8,1.6,1.7,2.8,2.6,2,2.9,0.6,0.3,2.3,0.6,5,7.9,2.5,10.4,4,1.8,8.7,3.3,1.1,2.22,0.65,1.3,1.45,2.3,2.15,1.65,Joyful Striver,64,51,15,18,6
41,Xilio,Women,Married,25th,6,1,1,2,yes,1,3415357,4,More than 1M,5,58,40,20,15,11,40,56,7.5,7.5,79,Over 55,9,0,8,11,0,49,19,8,Healthcare,Tech,0.4,1.6,2.6,0.5,2.6,2.3,1.8,2.4,2.9,0.4,2.8,1.7,1.9,2.1,13.5,8.5,3.6,6.1,1.5,5.9,3.9,0.3,2.06,2.15,0.45,2.15,1.9,1.5,1.95,Purposeful Striver,3,72,0,-15,-1
42,HBS,Men,In a relationship,15th,4,3,3+,4,yes,1,2825513,4,More than 1M,5,14,73,68,61,41,73,51,6.5,6.5,66,Over 55,4,9,10,5,8,49,19,2,Healthcare,Other,1.5,2.4,1.7,2.9,0.9,1.8,0.4,1.2,0.8,0.9,0.4,2.1,1.1,5.5,19.8,5.6,19.4,2,1.2,1.3,2,1.25,2.25,1.4,2.45,0.7,1.5,0.3,1,Purpose Seeker,51,42,2,-24,3
43,IWF,Women,In a relationship,30th,7,1,1,2,yes,1,1495689,4,More than 1M,5,14,10,52,58,80,10,58,4.7,4.7,63,Over 55,2,1,2,4,5,51,11,8,Healthcare,Consulting,0.1,1,1.6,0.3,1.4,0.6,1.3,1.9,0.1,2.9,0.7,2.8,2.5,1.3,8,5.2,2.3,3.3,0.4,4.3,3.2,0.1,2.02,1.3,0.3,1.15,0.5,1.05,1.6,Joyful Striver,7,64,-24,18,-19
44,HBS,Women,Single,20th,5,1,1,2,yes,1,98148,1,Less than 150K,1,44,62,62,25,98,62,68,2.9,2.9,31,0 - 35,4,7,7,9,5,52,16,8,Other,Healthcare,2.7,1.9,0.3,1.2,1.9,2,0.5,0.5,2.1,0.8,1.7,2.1,1.4,9.2,15.6,1.1,8.1,4.3,1.3,1.6,0.8,2.25,2.45,0.3,1,1.55,1.65,0.4,0.4,Purpose Seeker,21,15,-20,18,-23
45,Xilio,Men,Married,10th,3,0,0,1,no,2,1855665,4,More than 1M,5,30,54,71,65,12,54,77,4.5,4.5,56,Over 55,9,0,10,4,13,53,0,6,Other,Other,0.8,2.7,2.6,2.2,1.2,1.9,2.1,2.8,1.4,1.4,2.3,1.1,2.2,3.3,22.1,8.6,14.8,2.9,1.2,7,4.7,0.65,2.13,2.15,1.85,1.05,1.55,1.75,2.35,Joy Seeker,73,29,-17,-17,-6
46,HBS,Women,In a relationship,5th,2,3,3+,4,yes,1,2775683,4,More than 1M,5,96,21,41,45,73,21,28,6,6,74,Over 55,7,2,0,2,1,55,15,7,Tech,Healthcare,2,1.8,2.2,2.1,1.3,1.8,2.3,1.1,0.3,0.1,1.9,2.1,0.3,7,15.4,7.2,14.1,3,1.2,7.6,1.9,1.65,2.33,1.8,1.75,1.05,1.5,1.9,0.95,Purposeful Striver,39,33,7,-5,-6
47,Xilio,Men,Single,40th+,9,4,3+,4,yes,1,3427723,4,More than 1M,5,79,24,69,44,98,24,60,6.9,6.9,67,Over 55,10,4,6,9,14,54,10,2,Finance,Tech,0.9,0.7,0.2,1.3,1,1.5,0.3,2.2,2.1,1.2,0.7,0.1,1.2,3.8,5.8,0.7,8.5,2.3,1,1.1,3.6,0.8,2.16,0.15,1.05,0.85,1.2,0.25,1.8,Flourisher,18,27,15,-2,4
48,IWF,Women,Married,1st,1,1,1,2,yes,1,3033758,3,More than 1M,5,69,61,85,85,17,61,71,7.2,7.2,52,45 - 55,5,2,9,4,11,54,19,2,Tech,Healthcare,1.6,0.1,2.1,1,1.7,1.6,1.5,0.1,0.1,1.7,0,1.2,2.9,5.7,0.6,7.1,6.9,3.9,1.1,5.1,0.1,1.3,2.26,1.75,0.85,1.4,1.3,1.25,0.05,Purposeful Striver,4,36,-1,8,9
49,IWF,Men,Single,5th,2,2,2,3,yes,1,4086518,2,More than 1M,5,79,78,22,59,38,78,15,8.1,8.1,43,35 - 45,9,8,5,0,11,48,16,7,Tech,Consulting,1.6,2.6,1.6,1.2,2.6,1,2.4,0.6,2.6,2.9,2.3,1.2,2.4,5.9,21.8,5.4,8,6,0.7,8.1,1,1.35,2.27,1.35,1,2.15,0.85,2.05,0.5,Joy Seeker,89,29,-13,-4,9
50,IWF,Men,Single,25th,6,0,0,1,no,2,2699995,4,More than 1M,5,59,42,28,61,18,42,45,5.3,5.3,64,Over 55,0,10,9,3,2,55,8,5,Other,Tech,0.6,0.1,0.2,0.8,0.6,1.6,2.8,1.5,0.4,1.6,3,0.5,0.5,2.7,0.5,0.8,5.3,1.4,1,9.4,2.4,0.45,2.09,0.2,0.65,0.5,1.3,2.35,1.2,Purposeful Striver,60,38,-17,-23,13
51,Xilio,Women,Married,15th,4,4,3+,4,yes,1,4480812,2,More than 1M,5,26,99,92,81,56,99,17,8.5,8.5,40,35 - 45,9,9,0,7,11,53,13,4,Consulting,Healthcare,2.9,2.6,1.4,0.6,2.8,0.6,1.5,2.6,0.4,2.5,2.4,0.1,0.8,9.7,21.9,4.6,4.1,6.5,0.4,5.1,4.4,2.4,2.48,1.15,0.5,2.35,0.5,1.3,2.2,Striver,14,57,-13,-14,1
52,HBS,Women,Married,1st,1,3,3+,4,yes,1,4828669,3,More than 1M,5,59,22,23,55,44,22,70,8.6,8.6,47,45 - 55,8,10,3,3,6,50,13,7,Healthcare,Healthcare,2.3,1.6,1.5,1.4,2.1,2.4,2.9,1.6,0.5,1.6,1.4,0.4,1,8,13.2,4.8,9.7,4.8,1.6,9.5,2.6,1.95,2.39,1.2,1.2,1.7,2,2.4,1.3,Joyful Striver,9,27,5,2,0
53,HBS,Men,In a relationship,30th,7,3,3+,4,yes,1,1900928,2,More than 1M,5,60,65,56,96,56,65,77,4.9,4.9,36,35 - 45,1,6,0,10,14,48,12,7,Finance,Tech,2.8,2.8,0.5,0.8,2.5,0.6,1.6,2.8,2.9,0.1,2.7,2,2,9.5,23.5,1.7,5.4,5.8,0.4,5.4,4.6,2.35,2.47,0.4,0.65,2.05,0.45,1.35,2.3,Flourisher,90,55,15,4,-12
54,IWF,Men,In a relationship,25th,6,3,3+,4,yes,1,4185299,4,More than 1M,5,34,44,77,99,93,44,11,8.3,8.3,78,Over 55,3,4,10,9,7,55,18,1,Consulting,Finance,2.7,2.4,2.8,0.9,1.7,0.3,1.2,1.5,2.1,0.9,1.2,2.4,2.3,9.1,20,9.5,5.7,3.9,0.2,3.9,2.4,2.25,2.45,2.35,0.7,1.4,0.2,1,1.2,Triumvirate,53,33,-15,0,-9
55,HBS,Women,Single,5th,2,4,3+,4,yes,1,2587489,2,More than 1M,5,68,69,84,16,53,69,10,6.6,6.6,40,35 - 45,10,2,6,7,2,50,17,5,Healthcare,Tech,1.8,3,2.5,2,2.3,1.3,2.5,1.5,2.4,1.7,1.6,3,2.2,6.4,24.9,8.5,13.1,5.5,0.9,8.5,2.5,1.5,2.3,2.1,1.65,1.95,1.1,2.1,1.25,Joy Seeker,2,68,-22,-5,-8
56,Xilio,Men,Married,10th,3,4,3+,4,yes,1,1803415,4,More than 1M,5,23,39,36,63,95,39,60,5.6,5.6,59,Over 55,1,10,5,11,0,50,2,2,Finance,Healthcare,2.8,1.1,2,2.9,0,2,1.5,0.4,1.2,2.9,1.4,1,1.5,9.3,8.8,6.7,19.4,0.1,1.3,4.9,0.6,2.3,2.46,1.65,2.4,0.05,1.65,1.25,0.3,Joy Seeker,84,86,8,2,19
