id,group,gender,relationship_status,reunion_class,reunion_class_levels,n_children,children_range,children_range_levels,with_child,with_child_levels,income,working_range_levels,income_range,income_range_levels,achievement,achievement_min,joy,joy_min,meaningfulness,meaningfulness_work,meaningfulness_min,life_satisfaction,tqi,working_hours,working_range,reading_hours,catching_up_hours,social_media_hours,watching_tv_hours,exercising_hours,sleeping_hours,care_giving_hours,parting_hosting_hours,industry_graduation,industry_current,eating_with_family_hours,eating_with_others_hours,eating_alone_hours,watching_TV_with_family_hours,watching_TV_with_others_hours,watching_TV_alone_hours,hanging_out_alone_hours,hanging_out_with_family_hours,hanging_out_with_others_hours,chores_alone_hours,chores_with_others_hours,chores_with_family_hours,commuting_alone_hours,hobbies_hours,school_learning_hours,job_searching_hours,gaming_hours,napping_hours,therapy_hours,side_projects_hours,volunteering_hours,hobbies_subj_value,school_learning_subj_value,job_searching_subj_value,gaming_subj_value,napping_subj_value,therapy_subj_value,side_projects_subj_value,volunteering_subj_value,jam_type_distribution,achievement_behavioral,achievement_perceived,joy_gap,achievement_gap,meaningfulness_gap,industry_graduation_levels,industry_current_levels,joy_working,joy_reading,joy_catching_up,joy_social_media,joy_watching_tv,joy_exercising,joy_sleeping,joy_care_giving,joy_parting_hosting,joy_eating_with_family,joy_eating_with_others,joy_eating_alone,joy_watching_TV_with_family,joy_watching_TV_with_others,joy_watching_TV_alone,joy_hanging_out_alone,joy_hanging_out_with_family,joy_hanging_out_with_others,joy_chores_alone,joy_chores_with_others,joy_chores_with_family,joy_commuting_alone,joy_volunteering,joy_therapy,joy_gaming,joy_school_learning,joy_side_projects,joy_job_searching,joy_napping,joy_hobbies
11.0,IWF,Women,,25th,6.0,4.0,3+,4.0,,1.0,4553669.0,4.0,More than 1M,5.0,52.0,66.0,35.0,95.0,76.0,66.0,54.0,8.2,8.2,78.0,Over 55,5.0,1.0,1.0,3.0,3.0,48.0,,4.0,Other,Healthcare,0.1,0.7,0.1,1.6,0.1,0.5,2.4,0.8,2.5,0.9,2.7,1.5,2.9,1.2,5.5,0.3,11.0,0.2,0.3,8.0,1.3,0.05,2.01,0.1,1.35,0.1,0.4,2.0,0.65,Purpose Seeker,24.0,26.0,3.0,-10.0,11.0,5.0,4.0,33,94,47,34,31,12,46,51,38,61,88,86,63,64,67,91,26,39,51,52,49,79,67,92,18,24,86,47,14,15
12.0,IWF,Women,Married,40th+,9.0,2.0,2,3.0,Kids,1.0,1796891.0,3.0,,5.0,91.0,27.0,88.0,62.0,50.0,27.0,66.0,4.9,4.9,53.0,45 - 55,5.0,3.0,8.0,8.0,2.0,54.0,0.0,4.0,Other,Healthcare,,3.0,0.2,0.9,1.2,2.1,2.5,2.4,1.3,1.1,2.2,2.0,1.0,9.7,24.7,0.6,5.8,2.7,1.4,8.2,4.0,2.4,2.48,0.15,0.7,1.0,inf,2.05,2.0,Purpose Seeker,3.0,62.0,6.0,-25.0,-16.0,5.0,4.0,12,46,93,29,36,46,55,28,89,40,52,60,20,57,53,12,70,55,18,71,87,71,16,66,54,53,79,22,11,96
13.0,IWF,Women,Single,10th,3.0,3.0,3+,4.0,Kids,1.0,4551373.0,3.0,More than 1M,5.0,17.0,86.0,42.0,55.0,45.0,86.0,80.0,8.6,8.6,47.0,45 - 55,9.0,0.0,3.0,7.0,6.0,50.0,15.0,8.0,Finance,Consulting,2.5,2.8,2.7,0.9,2.1,1.6,2.9,0.8,1.9,0.3,2.8,2.9,2.7,8.5,23.6,9.1,6.1,4.9,1.1,9.8,1.4,2.1,2.42,2.25,0.75,1.75,1.35,2.45,0.7,Flourisher,22.0,4.0,12.0,19.0,10.0,1.0,2.0,31,14,32,43,76,49,62,26,45,96,53,59,62,38,25,71,59,85,60,94,96,54,24,36,69,21,63,16,67,18
14.0,HBS,Women,Single,5th,2.0,2.0,2,3.0,Kids,1.0,3374769.0,3.0,More than 1M,5.0,88.0,73.0,49.0,59.0,96.0,73.0,45.0,6.1,6.1,46.0,45 - 55,10.0,9.0,0.0,4.0,7.0,53.0,15.0,7.0,Tech,Tech,0.6,0.1,0.4,1.1,0.6,1.9,1.5,0.6,0.7,0.2,1.0,0.8,2.5,2.9,1.0,1.4,7.1,1.4,1.3,5.0,1.0,0.55,2.11,0.35,0.9,0.5,1.6,1.25,0.5,Flourisher,53.0,89.0,-21.0,-5.0,11.0,3.0,3.0,62,92,54,35,22,81,97,42,93,77,77,28,17,36,74,21,99,30,26,94,86,20,35,68,37,17,80,20,21,61
15.0,HBS,Women,In a relationship,5th,2.0,1.0,1,2.0,Kids,1.0,821743.0,4.0,500K - 1M,4.0,59.0,61.0,19.0,89.0,,61.0,54.0,3.1,3.1,79.0,Over 55,0.0,0.0,5.0,1.0,3.0,53.0,0.0,6.0,Consulting,Consulting,0.5,2.1,1.6,1.9,1.9,0.6,1.4,1.5,2.0,0.8,1.5,2.6,0.6,2.6,17.6,5.3,12.4,4.5,0.4,4.5,,0.45,2.09,1.35,1.55,1.6,0.5,1.15,1.25,Striver,2.0,42.0,-4.0,4.0,2.0,2.0,2.0,11,87,61,14,54,49,89,85,46,61,42,10,34,27,11,100,96,84,26,94,85,81,20,71,12,89,94,83,14,89
16.0,HBS,Men,In a relationship,40th+,9.0,0.0,0,1.0,No Kids,2.0,133355.0,4.0,Less than 150K,1.0,88.0,79.0,29.0,40.0,inf,79.0,99.0,2.8,2.8,69.0,Over 55,1.0,1.0,10.0,4.0,,55.0,6.0,2.0,Consulting,Other,0.6,2.8,1.2,1.0,0.8,inf,inf,2.6,2.3,0.2,0.0,2.8,1.9,2.7,23.1,4.1,6.7,1.8,0.4,7.5,4.3,0.45,2.09,1.05,0.85,0.65,0.55,1.9,2.15,Joyful Striver,88.0,89.0,8.0,-13.0,2.0,2.0,5.0,97,35,89,70,19,65,22,58,95,89,33,49,49,69,65,39,15,57,29,13,27,83,47,29,60,50,60,59,69,71
17.0,Xilio,Women,Single,40th+,9.0,1.0,,2.0,Kids,1.0,1292752.0,4.0,More than 1M,5.0,58.0,49.0,87.0,26.0,97.0,49.0,27.0,4.0,4.0,56.0,Over 55,1.0,10.0,8.0,7.0,8.0,52.0,15.0,1.0,Finance,Other,0.9,0.5,1.0,2.2,2.7,0.1,0.4,0.7,1.4,0.3,0.0,2.0,0.2,3.7,4.5,3.5,14.7,6.2,0.1,1.3,1.2,0.75,2.15,0.85,1.85,2.2,0.1,0.35,0.6,Joyful Striver,30.0,18.0,-25.0,8.0,16.0,1.0,5.0,39,71,59,18,18,32,98,65,80,16,45,41,41,83,88,94,37,71,23,74,30,43,36,12,17,43,37,76,50,67
18.0,Xilio,Women,Single,40th+,9.0,2.0,2,3.0,Kids,1.0,1426025.0,4.0,More than 1M,5.0,90.0,79.0,75.0,96.0,55.0,79.0,84.0,4.8,4.8,58.0,Over 55,9.0,10.0,3.0,7.0,7.0,50.0,13.0,6.0,Tech,Healthcare,1.6,1.7,2.7,1.2,2.7,1.0,1.6,0.2,1.9,2.4,0.7,2.8,2.5,5.7,14.2,9.0,8.1,6.3,0.6,5.5,0.4,1.3,2.26,2.25,1.0,2.25,0.8,1.35,0.2,Striver,38.0,40.0,0.0,-22.0,17.0,3.0,4.0,47,13,17,59,63,20,63,72,32,31,19,31,97,78,37,47,81,67,31,71,10,97,16,25,79,55,73,50,29,28
19.0,IWF,Men,Single,10th,3.0,0.0,0,1.0,No Kids,2.0,1337371.0,4.0,More than 1M,5.0,78.0,55.0,71.0,33.0,28.0,55.0,40.0,4.1,4.1,60.0,Over 55,9.0,1.0,10.0,9.0,2.0,53.0,8.0,2.0,Healthcare,Tech,1.3,2.7,0.1,0.2,0.9,inf,1.6,1.1,1.4,0.1,0.3,1.2,0.5,4.9,22.9,0.2,1.4,2.1,1.1,5.5,1.8,inf,2.22,0.05,0.15,0.75,1.4,1.35,0.9,Purpose Seeker,2.0,72.0,17.0,2.0,-5.0,4.0,3.0,11,98,94,15,36,73,66,12,50,84,29,75,37,83,74,94,64,27,61,99,47,55,10,53,68,97,94,38,81,22
20.0,HBS,Men,In a relationship,20th,5.0,0.0,0,1.0,No Kids,2.0,947040.0,4.0,500K - 1M,4.0,19.0,12.0,26.0,61.0,48.0,12.0,32.0,3.4,3.4,69.0,Over 55,4.0,4.0,2.0,11.0,8.0,53.0,13.0,3.0,Finance,inf,0.9,0.1,2.0,2.4,0.7,2.6,0.3,2.2,2.7,2.0,0.8,2.9,0.2,3.6,0.8,6.6,15.7,1.6,1.7,0.9,3.7,0.75,2.15,1.65,1.95,0.55,2.15,0.2,1.85,Purpose Seeker,64.0,39.0,-16.0,12.0,-2.0,1.0,4.0,73,51,10,92,43,17,13,58,89,65,84,49,87,30,14,69,67,68,36,11,50,90,83,88,70,38,30,46,10,41
21.0,IWF,Women,Single,15th,4.0,4.0,3+,4.0,Kids,1.0,2283882.0,4.0,More than 1M,5.0,51.0,40.0,61.0,31.0,45.0,40.0,64.0,6.5,6.5,58.0,Over 55,4.0,6.0,1.0,7.0,11.0,53.0,7.0,1.0,Consulting,Healthcare,1.8,2.1,2.9,0.9,1.2,2.0,1.3,1.7,1.5,0.8,0.5,2.1,1.2,6.5,17.4,9.6,5.7,2.9,1.3,4.2,2.8,1.55,2.31,2.4,0.7,1.05,1.65,1.05,1.4,Joyful Striver,60.0,14.0,4.0,5.0,16.0,2.0,4.0,69,98,17,69,10,65,84,64,37,67,21,47,12,33,31,47,54,100,52,18,51,41,30,39,67,25,97,65,65,18
22.0,IWF,Men,Single,,4.0,3.0,3+,4.0,Kids,1.0,3560409.0,4.0,More than 1M,5.0,73.0,91.0,51.0,82.0,57.0,91.0,11.0,7.2,7.2,80.0,Over 55,8.0,0.0,7.0,6.0,14.0,49.0,14.0,8.0,Consulting,Tech,0.4,0.9,1.7,1.3,0.7,1.3,2.6,2.5,2.5,2.6,0.1,0.1,1.7,2.3,7.4,5.6,8.7,1.7,0.9,8.5,4.1,0.35,2.07,1.4,1.1,0.6,1.1,2.15,2.05,Joy Seeker,21.0,32.0,-8.0,1.0,14.0,2.0,3.0,30,27,38,53,41,69,58,35,57,73,71,57,100,12,22,24,81,57,12,66,18,84,88,49,79,14,36,89,79,58
23.0,IWF,Men,Single,15th,4.0,2.0,2,3.0,Kids,1.0,4879115.0,3.0,More than 1M,5.0,62.0,97.0,38.0,38.0,44.0,97.0,55.0,8.9,8.9,51.0,45 - 55,10.0,8.0,3.0,1.0,10.0,55.0,8.0,5.0,Tech,Healthcare,0.9,2.8,2.8,2.1,2.0,2.9,2.6,2.9,2.4,1.5,2.7,2.7,2.6,3.6,23.1,9.4,13.7,4.7,1.9,8.6,4.8,0.75,2.15,2.35,1.7,1.7,2.4,2.15,2.4,Flourisher,33.0,51.0,-9.0,-21.0,-24.0,3.0,4.0,42,49,14,20,98,19,16,81,47,21,27,64,93,71,74,27,28,72,97,54,32,97,39,74,21,14,36,25,65,46
24.0,IWF,Women,In a relationship,20th,5.0,1.0,1,2.0,Kids,1.0,4751339.0,4.0,inf,5.0,65.0,11.0,64.0,38.0,51.0,11.0,27.0,8.0,8.0,61.0,Over 55,6.0,3.0,2.0,0.0,7.0,51.0,14.0,1.0,Healthcare,Tech,1.1,2.9,0.2,1.0,2.5,2.2,0.3,,1.2,0.9,0.0,1.5,2.9,4.3,24.3,0.5,6.6,5.8,1.4,1.0,4.0,0.9,2.18,0.15,0.85,2.05,1.8,inf,2.0,Purpose Seeker,76.0,38.0,0.0,-1.0,-18.0,4.0,3.0,85,81,95,75,80,48,20,61,40,16,72,84,88,11,25,61,38,21,17,27,87,14,17,38,18,39,86,53,63,40
25.0,HBS,Men,Married,10th,3.0,2.0,2,3.0,Kids,1.0,4872447.0,3.0,More than 1M,5.0,31.0,18.0,89.0,32.0,44.0,18.0,34.0,8.6,8.6,53.0,45 - 55,1.0,6.0,5.0,9.0,4.0,48.0,1.0,2.0,Tech,Healthcare,1.4,2.8,,0.2,2.0,2.8,0.3,1.8,0.7,1.6,2.2,1.4,1.3,5.1,23.6,4.2,1.1,4.7,1.9,0.9,3.0,1.15,2.23,1.05,0.15,1.7,2.35,0.25,1.5,Joyful Striver,58.0,23.0,-18.0,-23.0,1.0,3.0,4.0,67,48,56,56,76,37,63,16,23,64,93,90,71,75,95,38,32,96,95,57,20,72,97,39,58,59,59,59,20,40
26.0,IWF,,Married,15th,4.0,0.0,0,1.0,No Kids,2.0,1530942.0,2.0,inf,5.0,91.0,25.0,24.0,96.0,46.0,25.0,38.0,4.9,4.9,38.0,35 - 45,2.0,5.0,,7.0,10.0,53.0,18.0,7.0,Consulting,Other,2.4,1.4,0.8,1.1,2.5,1.6,0.8,1.5,1.2,1.1,0.5,1.7,0.2,8.1,11.9,2.6,7.5,5.8,1.1,2.6,2.5,1.95,2.39,0.65,0.95,2.05,1.3,0.65,1.25,Joy Seeker,22.0,63.0,14.0,7.0,-4.0,2.0,5.0,31,23,43,82,93,58,96,55,82,71,34,64,36,51,73,69,41,43,98,51,80,38,92,41,92,14,38,80,12,68
27.0,HBS,Women,Married,10th,3.0,2.0,2,3.0,Kids,1.0,4290029.0,2.0,More than 1M,5.0,,62.0,41.0,24.0,51.0,62.0,16.0,7.6,7.6,39.0,35 - 45,10.0,3.0,8.0,7.0,7.0,49.0,10.0,4.0,Other,Healthcare,0.6,2.6,2.2,2.8,1.2,0.8,2.6,0.1,2.5,1.7,2.7,0.4,2.2,2.8,21.6,7.3,18.9,2.8,0.5,8.7,0.2,0.5,2.1,1.85,2.35,1.0,0.65,2.2,0.1,Joy Seeker,89.0,15.0,-14.0,-22.0,11.0,5.0,4.0,98,41,74,94,29,45,54,55,100,99,21,60,54,43,41,30,19,70,19,50,40,57,12,19,26,22,48,88,37,64
28.0,HBS,Women,In a relationship,25th,6.0,1.0,1,2.0,Kids,1.0,3305709.0,3.0,More than 1M,5.0,41.0,68.0,92.0,40.0,68.0,68.0,21.0,7.1,7.1,48.0,45 - 55,2.0,10.0,7.0,4.0,1.0,51.0,2.0,2.0,Healthcare,Healthcare,1.5,2.5,2.9,1.9,0.5,0.2,0.4,3.0,0.7,0.3,2.7,1.4,1.7,5.6,21.1,9.8,12.8,1.1,0.1,1.3,4.9,1.3,2.26,2.45,1.6,0.4,0.15,0.3,2.45,Purpose Seeker,49.0,25.0,1.0,-1.0,1.0,4.0,4.0,58,60,64,97,44,22,32,25,97,82,30,69,34,51,89,26,100,96,38,84,97,25,64,100,63,58,66,15,14,28
29.0,HBS,Women,Married,1st,1.0,2.0,2,3.0,Kids,1.0,114654.0,,Less than 150K,1.0,59.0,25.0,79.0,23.0,72.0,25.0,33.0,2.8,2.8,66.0,Over 55,6.0,7.0,7.0,1.0,2.0,50.0,17.0,6.0,Consulting,Other,1.8,1.0,0.8,2.0,2.2,2.2,2.2,1.2,1.6,3.0,2.0,2.5,1.3,6.3,,2.6,13.4,5.2,1.5,7.2,1.9,1.5,2.3,0.65,1.7,1.85,1.8,1.8,0.95,Triumvirate,,17.0,-18.0,-6.0,3.0,2.0,5.0,100,47,99,95,100,45,37,33,86,86,34,17,70,29,60,27,58,62,49,98,35,34,24,60,53,98,46,27,99,72
30.0,IWF,Women,In a relationship,15th,4.0,2.0,2,3.0,Kids,1.0,1984354.0,3.0,More than 1M,5.0,54.0,92.0,58.0,14.0,55.0,92.0,68.0,5.2,inf,49.0,45 - 55,0.0,10.0,6.0,3.0,12.0,53.0,4.0,7.0,Consulting,Finance,0.1,2.5,2.0,1.9,1.1,0.4,0.3,0.5,2.4,1.3,2.0,0.0,0.9,1.4,20.7,6.5,12.6,2.5,0.2,1.0,0.8,0.1,2.02,1.65,1.6,0.9,,0.25,0.4,Joyful Striver,42.0,66.0,-1.0,8.0,-23.0,2.0,1.0,68,32,52,12,99,35,66,70,99,64,20,95,53,77,88,66,74,34,74,99,39,81,45,17,41,59,73,28,25,11
31.0,IWF,Women,Married,40th+,9.0,1.0,1,2.0,Kids,1.0,2446182.0,4.0,More than 1M,5.0,25.0,94.0,29.0,86.0,36.0,94.0,10.0,5.6,5.6,63.0,Over 55,8.0,7.0,6.0,2.0,1.0,51.0,14.0,9.0,Healthcare,Finance,1.8,0.1,0.6,0.6,2.0,0.9,inf,2.0,1.1,inf,0.0,0.8,1.5,6.5,0.9,2.0,4.0,4.7,0.6,6.2,3.3,1.5,2.3,0.5,0.5,1.7,0.75,1.55,1.65,Joyful Striver,60.0,78.0,20.0,0.0,18.0,4.0,1.0,51,72,83,85,87,95,35,63,38,45,73,77,55,54,67,46,38,71,30,67,43,38,15,60,44,23,57,60,40,54
32.0,HBS,Men,Single,10th,3.0,1.0,1,2.0,Kids,1.0,3504675.0,1.0,More than 1M,5.0,63.0,32.0,76.0,48.0,99.0,32.0,30.0,8.1,8.1,31.0,0 - 35,5.0,7.0,6.0,9.0,9.0,55.0,0.0,5.0,Other,Finance,0.5,1.8,1.7,1.3,0.8,1.6,1.1,0.9,1.9,2.1,3.0,0.0,1.0,2.5,14.9,5.7,8.4,1.9,1.1,3.6,1.4,0.45,2.09,1.4,1.05,0.7,1.35,0.9,0.7,Purpose Seeker,80.0,,-22.0,-21.0,-13.0,5.0,1.0,69,24,39,39,26,13,34,71,60,98,82,84,23,84,55,69,68,13,33,51,55,61,51,45,87,55,31,75,37,52
33.0,IWF,Men,In a relationship,15th,4.0,1.0,1,2.0,Kids,1.0,2682991.0,2.0,More than 1M,5.0,25.0,66.0,60.0,30.0,40.0,66.0,58.0,6.2,6.2,41.0,35 - 45,10.0,0.0,7.0,5.0,13.0,53.0,18.0,7.0,Healthcare,Other,0.2,0.7,inf,2.3,0.2,1.7,2.4,1.8,0.7,1.1,2.6,1.2,2.3,1.6,5.8,4.6,15.0,0.6,1.1,7.9,2.9,0.15,2.03,1.15,1.9,0.2,1.4,1.95,1.45,Triumvirate,15.0,51.0,7.0,9.0,19.0,4.0,5.0,89,34,91,99,27,91,63,10,58,33,59,81,17,51,61,47,54,22,82,44,78,55,59,64,58,99,39,12,16,10
34.0,IWF,Women,In a relationship,5th,2.0,3.0,3+,4.0,Kids,1.0,2458388.0,4.0,More than 1M,5.0,51.0,49.0,77.0,79.0,65.0,49.0,68.0,5.4,5.4,69.0,Over 55,6.0,5.0,5.0,3.0,2.0,54.0,0.0,0.0,Other,Healthcare,2.8,0.4,2.9,0.3,3.0,1.8,0.7,1.8,0.3,inf,2.7,2.2,1.6,9.5,3.0,9.7,2.0,6.9,1.2,2.3,2.9,2.35,2.47,2.45,0.25,2.5,1.5,0.6,1.45,Flourisher,62.0,39.0,-25.0,2.0,-16.0,5.0,4.0,24,26,26,30,54,73,38,58,52,53,71,18,57,56,72,21,76,51,69,47,14,34,27,44,63,91,37,98,18,94
